publishedAt,title,tags,channelTitle,viewCount,likeCount,dislikeCount,favoriteCount,commentCount
2021-06-20,5次道歉難滅怒火 惡男路中攔車 鐵條怒砸｜TVBS新聞,"['TVBS', 'TVBS新聞', 'LIVE', '新聞直播', '直播', '現場', '國際', '娛樂', '政治', '時事', 'NEWS', '直擊', '體育', '焦點', '十點不一樣', '專題', '24H直播', '24小時直播', '趙少康', '少康', '文茜', '文茜世界週報', '陳文茜', '55台', '56台', '55', '56', 'NEWS LIVE', '最新', 'Taiwan News', 'Taiwan', '即時', '即時新聞', '媒體', '新聞媒體', '蔡英文', '蘇貞昌', '國民黨', '民進黨', '時代力量', '藍營', '綠營', '台灣政治', '天氣', '颱風', '地震', '災害', '社會新聞', '台灣', '誰來Feat.趙少康', '誰來Feat', '新聞', '陳時中', '江啟臣', '韓國瑜', '韓粉', '朱立倫', '蔣萬安', '柯文哲', '國民大會', '新聞大白話', '主播', '記者', '中天', '中天新聞', '中天電視', '東森', '東森新聞', '三立', '三立新聞', '民視', '民視新聞', '年代', '年代新聞', '張雅琴', '觀點', '全球視野', '寰宇', '壹電視', 'ettoday', '疫苗', '疫情', '確診', '乾旱', '缺水', '防疫', 'AZ', 'BNT', '輝瑞', '莫德納', '捐疫苗', '日本', '美國', '淹水', '三級', '梅雨', '焦點新聞', '新冠肺炎', '侯友宜', '郭台銘', '印度', '拜登', 'G7', '民眾黨', '高端', '指揮中心']",TVBS NEWS,9926,64,5,0,123
2021-06-20,"新冠病毒擋不住全球暖化! 再熱2度""5食物消失""【TVBS說新聞】20210620","['TVBS', 'TVBS新聞', 'LIVE', '新聞直播', '直播', '現場', '國際', '娛樂', '政治', '時事', 'NEWS', '直擊', '體育', '焦點', '十點不一樣', '專題', '24H直播', '24小時直播', '趙少康', '少康', '文茜', '文茜世界週報', '陳文茜', '55台', '56台', '55', '56', 'NEWS LIVE', '最新', 'Taiwan News', 'Taiwan', '即時', '即時新聞', '媒體', '新聞媒體', '蔡英文', '蘇貞昌', '國民黨', '民進黨', '時代力量', '藍營', '綠營', '台灣政治', '天氣', '颱風', '地震', '災害', '社會新聞', '台灣', '誰來Feat.趙少康', '誰來Feat', '新聞', '陳時中', '江啟臣', '韓國瑜', '韓粉', '朱立倫', '蔣萬安', '柯文哲', '國民大會', '新聞大白話', '主播', '記者', '中天', '中天新聞', '中天電視', '東森', '東森新聞', '三立', '三立新聞', '民視', '民視新聞', '年代', '年代新聞', '張雅琴', '觀點', '全球視野', '寰宇', '壹電視', 'ettoday', '疫苗', '疫情', '確診', '乾旱', '缺水', '防疫', 'AZ', 'BNT', '輝瑞', '莫德納', '捐疫苗', '日本', '美國', '淹水', '三級', '梅雨', '焦點新聞', '新冠肺炎', '侯友宜', '郭台銘', '印度', '拜登', 'G7', '民眾黨', '高端', '指揮中心']",TVBS NEWS,6492,47,3,0,9
2021-06-20,"有莫德納更不想打AZ? ""猝死疑雲""陳時中:非關疫苗【TVBS說新聞】20210620","['TVBS', 'TVBS新聞', 'LIVE', '新聞直播', '直播', '現場', '國際', '娛樂', '政治', '時事', 'NEWS', '直擊', '體育', '焦點', '十點不一樣', '專題', '24H直播', '24小時直播', '趙少康', '少康', '文茜', '文茜世界週報', '陳文茜', '55台', '56台', '55', '56', 'NEWS LIVE', '最新', 'Taiwan News', 'Taiwan', '即時', '即時新聞', '媒體', '新聞媒體', '蔡英文', '蘇貞昌', '國民黨', '民進黨', '時代力量', '藍營', '綠營', '台灣政治', '天氣', '颱風', '地震', '災害', '社會新聞', '台灣', '誰來Feat.趙少康', '誰來Feat', '新聞', '陳時中', '江啟臣', '韓國瑜', '韓粉', '朱立倫', '蔣萬安', '柯文哲', '國民大會', '新聞大白話', '主播', '記者', '中天', '中天新聞', '中天電視', '東森', '東森新聞', '三立', '三立新聞', '民視', '民視新聞', '年代', '年代新聞', '張雅琴', '觀點', '全球視野', '寰宇', '壹電視', 'ettoday', '疫苗', '疫情', '確診', '乾旱', '缺水', '防疫', 'AZ', 'BNT', '輝瑞', '莫德納', '捐疫苗', '日本', '美國', '淹水', '三級', '梅雨', '焦點新聞', '新冠肺炎', '侯友宜', '郭台銘', '印度', '拜登', 'G7', '民眾黨', '高端', '指揮中心']",TVBS NEWS,20476,168,65,0,324
2021-06-20,疫苗難剋Delta變異株? 這病毒竟比他更強!【TVBS說新聞】20210620,"['TVBS', 'TVBS新聞', 'LIVE', '新聞直播', '直播', '現場', '國際', '娛樂', '政治', '時事', 'NEWS', '直擊', '體育', '焦點', '十點不一樣', '專題', '24H直播', '24小時直播', '趙少康', '少康', '文茜', '文茜世界週報', '陳文茜', '55台', '56台', '55', '56', 'NEWS LIVE', '最新', 'Taiwan News', 'Taiwan', '即時', '即時新聞', '媒體', '新聞媒體', '蔡英文', '蘇貞昌', '國民黨', '民進黨', '時代力量', '藍營', '綠營', '台灣政治', '天氣', '颱風', '地震', '災害', '社會新聞', '台灣', '誰來Feat.趙少康', '誰來Feat', '新聞', '陳時中', '江啟臣', '韓國瑜', '韓粉', '朱立倫', '蔣萬安', '柯文哲', '國民大會', '新聞大白話', '主播', '記者', '中天', '中天新聞', '中天電視', '東森', '東森新聞', '三立', '三立新聞', '民視', '民視新聞', '年代', '年代新聞', '張雅琴', '觀點', '全球視野', '寰宇', '壹電視', 'ettoday', '疫苗', '疫情', '確診', '乾旱', '缺水', '防疫', 'AZ', 'BNT', '輝瑞', '莫德納', '捐疫苗', '日本', '美國', '淹水', '三級', '梅雨', '焦點新聞', '新冠肺炎', '侯友宜', '郭台銘', '印度', '拜登', 'G7', '民眾黨', '高端', '指揮中心']",TVBS NEWS,2705,20,1,0,3
2021-06-20,隱匿!士林長照機構47確診3死 家屬舉報才曝光｜TVBS新聞,"['TVBS', 'TVBS新聞', 'LIVE', '新聞直播', '直播', '現場', '國際', '娛樂', '政治', '時事', 'NEWS', '直擊', '體育', '焦點', '十點不一樣', '專題', '24H直播', '24小時直播', '趙少康', '少康', '文茜', '文茜世界週報', '陳文茜', '55台', '56台', '55', '56', 'NEWS LIVE', '最新', 'Taiwan News', 'Taiwan', '即時', '即時新聞', '媒體', '新聞媒體', '蔡英文', '蘇貞昌', '國民黨', '民進黨', '時代力量', '藍營', '綠營', '台灣政治', '天氣', '颱風', '地震', '災害', '社會新聞', '台灣', '誰來Feat.趙少康', '誰來Feat', '新聞', '陳時中', '江啟臣', '韓國瑜', '韓粉', '朱立倫', '蔣萬安', '柯文哲', '國民大會', '新聞大白話', '主播', '記者', '中天', '中天新聞', '中天電視', '東森', '東森新聞', '三立', '三立新聞', '民視', '民視新聞', '年代', '年代新聞', '張雅琴', '觀點', '全球視野', '寰宇', '壹電視', 'ettoday', '疫苗', '疫情', '確診', '乾旱', '缺水', '防疫', 'AZ', 'BNT', '輝瑞', '莫德納', '捐疫苗', '日本', '美國', '淹水', '三級', '梅雨', '焦點新聞', '新冠肺炎', '侯友宜', '郭台銘', '印度', '拜登', 'G7', '民眾黨', '高端', '指揮中心']",TVBS NEWS,86535,665,35,0,580
2021-06-20,隱匿!士林長照機構「47確診3死」小英悼拜登亡犬 藍:人不如狗【TVBS新聞精華】20210620,"['TVBS', 'TVBS新聞', 'LIVE', '新聞直播', '直播', '現場', '國際', '娛樂', '政治', '時事', 'NEWS', '直擊', '體育', '焦點', '十點不一樣', '專題', '24H直播', '24小時直播', '趙少康', '少康', '文茜', '文茜世界週報', '陳文茜', '55台', '56台', '55', '56', 'NEWS LIVE', '最新', 'Taiwan News', 'Taiwan', '即時', '即時新聞', '媒體', '新聞媒體', '蔡英文', '蘇貞昌', '國民黨', '民進黨', '時代力量', '藍營', '綠營', '台灣政治', '天氣', '颱風', '地震', '災害', '社會新聞', '台灣', '誰來Feat.趙少康', '誰來Feat', '新聞', '陳時中', '江啟臣', '韓國瑜', '韓粉', '朱立倫', '蔣萬安', '柯文哲', '國民大會', '新聞大白話', '主播', '記者', '中天', '中天新聞', '中天電視', '東森', '東森新聞', '三立', '三立新聞', '民視', '民視新聞', '年代', '年代新聞', '張雅琴', '觀點', '全球視野', '寰宇', '壹電視', 'ettoday', '疫苗', '疫情', '確診', '乾旱', '缺水', '防疫', 'AZ', 'BNT', '輝瑞', '莫德納', '捐疫苗', '日本', '美國', '淹水', '三級', '梅雨', '焦點新聞', '新冠肺炎', '侯友宜', '郭台銘', '印度', '拜登', 'G7', '民眾黨', '高端', '指揮中心']",TVBS NEWS,4967,40,8,0,40
2021-06-20,民主聯盟以牙還牙!曝美加碼送3倍疫苗秘辛【TVBS說新聞】20210620,"['TVBS', 'TVBS新聞', 'LIVE', '新聞直播', '直播', '現場', '國際', '娛樂', '政治', '時事', 'NEWS', '直擊', '體育', '焦點', '十點不一樣', '專題', '24H直播', '24小時直播', '趙少康', '少康', '文茜', '文茜世界週報', '陳文茜', '55台', '56台', '55', '56', 'NEWS LIVE', '最新', 'Taiwan News', 'Taiwan', '即時', '即時新聞', '媒體', '新聞媒體', '蔡英文', '蘇貞昌', '國民黨', '民進黨', '時代力量', '藍營', '綠營', '台灣政治', '天氣', '颱風', '地震', '災害', '社會新聞', '台灣', '誰來Feat.趙少康', '誰來Feat', '新聞', '陳時中', '江啟臣', '韓國瑜', '韓粉', '朱立倫', '蔣萬安', '柯文哲', '國民大會', '新聞大白話', '主播', '記者', '中天', '中天新聞', '中天電視', '東森', '東森新聞', '三立', '三立新聞', '民視', '民視新聞', '年代', '年代新聞', '張雅琴', '觀點', '全球視野', '寰宇', '壹電視', 'ettoday', '疫苗', '疫情', '確診', '乾旱', '缺水', '防疫', 'AZ', 'BNT', '輝瑞', '莫德納', '捐疫苗', '日本', '美國', '淹水', '三級', '梅雨', '焦點新聞', '新冠肺炎', '侯友宜', '郭台銘', '印度', '拜登', 'G7', '民眾黨', '高端', '指揮中心']",TVBS NEWS,4344,31,6,0,24
2021-06-20,打疫苗猝死案頻傳!長輩常見三問題醫解惑【TVBS說新聞】20210620,"['TVBS', 'TVBS新聞', 'LIVE', '新聞直播', '直播', '現場', '國際', '娛樂', '政治', '時事', 'NEWS', '直擊', '體育', '焦點', '十點不一樣', '專題', '24H直播', '24小時直播', '趙少康', '少康', '文茜', '文茜世界週報', '陳文茜', '55台', '56台', '55', '56', 'NEWS LIVE', '最新', 'Taiwan News', 'Taiwan', '即時', '即時新聞', '媒體', '新聞媒體', '蔡英文', '蘇貞昌', '國民黨', '民進黨', '時代力量', '藍營', '綠營', '台灣政治', '天氣', '颱風', '地震', '災害', '社會新聞', '台灣', '誰來Feat.趙少康', '誰來Feat', '新聞', '陳時中', '江啟臣', '韓國瑜', '韓粉', '朱立倫', '蔣萬安', '柯文哲', '國民大會', '新聞大白話', '主播', '記者', '中天', '中天新聞', '中天電視', '東森', '東森新聞', '三立', '三立新聞', '民視', '民視新聞', '年代', '年代新聞', '張雅琴', '觀點', '全球視野', '寰宇', '壹電視', 'ettoday', '疫苗', '疫情', '確診', '乾旱', '缺水', '防疫', 'AZ', 'BNT', '輝瑞', '莫德納', '捐疫苗', '日本', '美國', '淹水', '三級', '梅雨', '焦點新聞', '新冠肺炎', '侯友宜', '郭台銘', '印度', '拜登', 'G7', '民眾黨', '高端', '指揮中心']",TVBS NEWS,1884,23,0,0,6
2021-06-20,外援疫苗成靠山 小英轉守為攻「下一步?」【TVBS說新聞】20210620,"['TVBS', 'TVBS新聞', 'LIVE', '新聞直播', '直播', '現場', '國際', '娛樂', '政治', '時事', 'NEWS', '直擊', '體育', '焦點', '十點不一樣', '專題', '24H直播', '24小時直播', '趙少康', '少康', '文茜', '文茜世界週報', '陳文茜', '55台', '56台', '55', '56', 'NEWS LIVE', '最新', 'Taiwan News', 'Taiwan', '即時', '即時新聞', '媒體', '新聞媒體', '蔡英文', '蘇貞昌', '國民黨', '民進黨', '時代力量', '藍營', '綠營', '台灣政治', '天氣', '颱風', '地震', '災害', '社會新聞', '台灣', '誰來Feat.趙少康', '誰來Feat', '新聞', '陳時中', '江啟臣', '韓國瑜', '韓粉', '朱立倫', '蔣萬安', '柯文哲', '國民大會', '新聞大白話', '主播', '記者', '中天', '中天新聞', '中天電視', '東森', '東森新聞', '三立', '三立新聞', '民視', '民視新聞', '年代', '年代新聞', '張雅琴', '觀點', '全球視野', '寰宇', '壹電視', 'ettoday', '疫苗', '疫情', '確診', '乾旱', '缺水', '防疫', 'AZ', 'BNT', '輝瑞', '莫德納', '捐疫苗', '日本', '美國', '淹水', '三級', '梅雨', '焦點新聞', '新冠肺炎', '侯友宜', '郭台銘', '印度', '拜登', 'G7', '民眾黨', '高端', '指揮中心']",TVBS NEWS,1746,7,4,0,15
2021-06-20,未雨綢繆!疫苗險買不買? 專家籲釐清2盲點.4關鍵【TVBS說新聞】20210620,"['TVBS', 'TVBS新聞', 'LIVE', '新聞直播', '直播', '現場', '國際', '娛樂', '政治', '時事', 'NEWS', '直擊', '體育', '焦點', '十點不一樣', '專題', '24H直播', '24小時直播', '趙少康', '少康', '文茜', '文茜世界週報', '陳文茜', '55台', '56台', '55', '56', 'NEWS LIVE', '最新', 'Taiwan News', 'Taiwan', '即時', '即時新聞', '媒體', '新聞媒體', '蔡英文', '蘇貞昌', '國民黨', '民進黨', '時代力量', '藍營', '綠營', '台灣政治', '天氣', '颱風', '地震', '災害', '社會新聞', '台灣', '誰來Feat.趙少康', '誰來Feat', '新聞', '陳時中', '江啟臣', '韓國瑜', '韓粉', '朱立倫', '蔣萬安', '柯文哲', '國民大會', '新聞大白話', '主播', '記者', '中天', '中天新聞', '中天電視', '東森', '東森新聞', '三立', '三立新聞', '民視', '民視新聞', '年代', '年代新聞', '張雅琴', '觀點', '全球視野', '寰宇', '壹電視', 'ettoday', '疫苗', '疫情', '確診', '乾旱', '缺水', '防疫', 'AZ', 'BNT', '輝瑞', '莫德納', '捐疫苗', '日本', '美國', '淹水', '三級', '梅雨', '焦點新聞', '新冠肺炎', '侯友宜', '郭台銘', '印度', '拜登', 'G7', '民眾黨', '高端', '指揮中心']",TVBS NEWS,2062,10,0,0,5
